Simulation number, Timestep, StressAgent, Action, Amount
1, 1, Cash Provider 1, Pull Funding from Bank 2 [max: 200.0], 60.0
1, 1, Bank 2, Pay Loan to Cash Provider 1 [max: 140.0], 8.319376693766944
1, 1, Bank 2, Pay Loan to Bank 3 [max: 40.0], 2.3769647696476985
1, 1, Bank 2, Pull Funding from Hedgefund 1 [max: 150.0], 150.0
1, 1, Bank 2, Pull Funding from Bank 3 [max: 40.0], 40.0
1, 1, Bank 2, Sell Asset of type CORPORATE_BONDS [max: 70.35372463480732], 70.35372463480732
1, 1, Bank 2, Sell Asset of type MBS [max: 70.35372463480732], 70.35372463480732
1, 2, Hedgefund 1, Sell Asset of type MBS [max: 56.24029521918752], 43.72117512811522
1, 2, Hedgefund 1, Sell Asset of type EQUITIES [max: 56.638770062450305], 44.030949256052175
1, 2, Hedgefund 1, Sell Asset of type CORPORATE_BONDS [max: 56.24029521918752], 43.72117512811522
1, 2, Hedgefund 1, Sell Asset of type MBS [max: 12.209345963135355], 8.42816186531784
1, 2, Hedgefund 1, Sell Asset of type EQUITIES [max: 12.60782080639813], 8.703230692789527
1, 2, Hedgefund 1, Sell Asset of type CORPORATE_BONDS [max: 12.209345963135355], 8.42816186531784
1, 2, Bank 3, Sell Asset of type CORPORATE_BONDS [max: 33.12315260305437], 6.386256070572516
1, 2, Bank 3, Sell Asset of type EQUITIES [max: 33.35783741383695], 6.431504097398115
1, 2, Bank 3, Sell Asset of type MBS [max: 19.87389156183262], 3.8317536423435095
1, 2, Bank 3, Pull Funding from Bank 2 [max: 37.6230352303523], 14.795133261645992
1, 2, Bank 3, Pull Funding from Bank 1 [max: 40.0], 15.729866738354009
1, 3, Hedgefund 1, Sell Asset of type MBS [max: 3.6157127964536873], 3.6157127964536873
1, 3, Hedgefund 1, Sell Asset of type EQUITIES [max: 3.4500274368952413], 3.4500274368952413
1, 3, Hedgefund 1, Sell Asset of type CORPORATE_BONDS [max: 3.6147773437169795], 3.6147773437169795
1, 3, Investor 1, Redeem Shares from AssetManager 1 [max: 410.0], 102.0
1, 3, Bank 3, Pay Loan to Cash Provider 1 [max: 200.0], 3.6090059125582923
1, 3, Bank 3, Pay Loan to Bank 1 [max: 40.0], 0.7218011825116584
1, 3, Bank 3, Pull Funding from Bank 1 [max: 24.27013326164599], 24.27013326164599
1, 3, Bank 3, Sell Asset of type CORPORATE_BONDS [max: 26.86072522229756], 26.86072522229756
1, 3, Bank 3, Sell Asset of type EQUITIES [max: 27.05045335171666], 27.05045335171666
1, 3, Bank 3, Sell Asset of type MBS [max: 16.120605836555484], 16.120605836555484
1, 3, Bank 1, Sell Asset of type EQUITIES [max: 75.02757196271922], 0.3447577113673823
1, 3, Bank 1, Pull Funding from Hedgefund 1 [max: 150.0], 18.14410074457385
1, 3, Bank 1, Pull Funding from Bank 3 [max: 39.278198817488345], 4.7511173093994
1, 4, Cash Provider 1, Pull Funding from Bank 3 [max: 196.3909940874417], 58.917298226232504
1, 4, Bank 3, Pay Loan to Cash Provider 1 [max: 137.4736958612092], 34.0367814323497
1, 4, Bank 3, Pay Loan to Bank 1 [max: 34.52708150808895], 8.548476997186404
1, 4, Bank 3, Sell Asset of type CORPORATE_BONDS [max: 29.969027006581133], 29.969027006581133
1, 4, Bank 3, Sell Asset of type EQUITIES [max: 30.361898135102635], 30.361898135102635
1, 4, Bank 3, Sell Asset of type MBS [max: 18.00582545006625], 18.00582545006625
1, 4, AssetManager 1, Sell Asset of type EQUITIES [max: 257.6597160137983], 53.86244890121235
1, 4, AssetManager 1, Sell Asset of type MBS [max: 254.67093940207917], 53.237660401029274
1, 4, AssetManager 1, Sell Asset of type CORPORATE_BONDS [max: 254.32569970973074], 53.165489804959876
1, 5, Investor 1, Redeem Shares from AssetManager 1 [max: 308.0], 308.0
1, 5, Bank 1, Pull Funding from Bank 3 [max: 25.97860451090254], 25.97860451090254
2, 1, Cash Provider 1, Pull Funding from Bank 2 [max: 200.0], 60.0
2, 1, Bank 2, Pay Loan to Cash Provider 1 [max: 140.0], 8.319376693766944
2, 1, Bank 2, Pay Loan to Bank 3 [max: 40.0], 2.3769647696476985
2, 1, Bank 2, Pull Funding from Hedgefund 1 [max: 150.0], 150.0
2, 1, Bank 2, Pull Funding from Bank 3 [max: 40.0], 40.0
2, 1, Bank 2, Sell Asset of type MBS [max: 70.35372463480732], 70.35372463480732
2, 1, Bank 2, Sell Asset of type CORPORATE_BONDS [max: 70.35372463480732], 70.35372463480732
2, 2, Hedgefund 1, Sell Asset of type EQUITIES [max: 56.638770062450305], 44.030949256052175
2, 2, Hedgefund 1, Sell Asset of type MBS [max: 56.24029521918752], 43.72117512811522
2, 2, Hedgefund 1, Sell Asset of type CORPORATE_BONDS [max: 56.24029521918752], 43.72117512811522
2, 2, Hedgefund 1, Sell Asset of type EQUITIES [max: 12.60782080639813], 8.703230692789527
2, 2, Hedgefund 1, Sell Asset of type MBS [max: 12.209345963135355], 8.42816186531784
2, 2, Hedgefund 1, Sell Asset of type CORPORATE_BONDS [max: 12.209345963135355], 8.42816186531784
2, 2, Bank 3, Sell Asset of type MBS [max: 19.87389156183262], 3.8317536423435095
2, 2, Bank 3, Sell Asset of type CORPORATE_BONDS [max: 33.12315260305437], 6.386256070572516
2, 2, Bank 3, Sell Asset of type EQUITIES [max: 33.35783741383695], 6.431504097398115
2, 2, Bank 3, Pull Funding from Bank 1 [max: 40.0], 15.729866738354009
2, 2, Bank 3, Pull Funding from Bank 2 [max: 37.6230352303523], 14.795133261645992
2, 3, Hedgefund 1, Sell Asset of type EQUITIES [max: 3.45002743689525], 3.45002743689525
2, 3, Hedgefund 1, Sell Asset of type MBS [max: 3.6157127964536873], 3.6157127964536873
2, 3, Hedgefund 1, Sell Asset of type CORPORATE_BONDS [max: 3.6147773437169866], 3.614777343716987
2, 3, Bank 3, Pay Loan to Cash Provider 1 [max: 200.0], 3.6090059125582923
2, 3, Bank 3, Pay Loan to Bank 1 [max: 40.0], 0.7218011825116584
2, 3, Bank 3, Pull Funding from Bank 1 [max: 24.27013326164599], 24.27013326164599
2, 3, Bank 3, Sell Asset of type MBS [max: 16.120605836555484], 16.120605836555484
2, 3, Bank 3, Sell Asset of type CORPORATE_BONDS [max: 26.86072522229756], 26.86072522229756
2, 3, Bank 3, Sell Asset of type EQUITIES [max: 27.05045335171666], 27.05045335171666
2, 3, Bank 1, Sell Asset of type EQUITIES [max: 75.02757196271922], 0.3447577113673823
2, 3, Bank 1, Pull Funding from Hedgefund 1 [max: 150.0], 18.14410074457385
2, 3, Bank 1, Pull Funding from Bank 3 [max: 39.278198817488345], 4.7511173093994
2, 4, Cash Provider 1, Pull Funding from Bank 3 [max: 196.3909940874417], 58.917298226232504
2, 4, Bank 3, Pay Loan to Cash Provider 1 [max: 137.4736958612092], 34.03678143234968
2, 4, Bank 3, Pay Loan to Bank 1 [max: 34.52708150808895], 8.548476997186398
2, 4, Bank 3, Sell Asset of type MBS [max: 18.005825450066247], 18.005825450066247
2, 4, Bank 3, Sell Asset of type CORPORATE_BONDS [max: 29.969027006581126], 29.969027006581126
2, 4, Bank 3, Sell Asset of type EQUITIES [max: 30.361898135102628], 30.361898135102628
2, 4, Bank 1, Pull Funding from Bank 3 [max: 25.978604510902546], 25.978604510902546
