Simulation number, Timestep, Bank 1_CORPORATE_BONDS_total_quantity, Bank 1_CORPORATE_BONDS_encumbered_quantity, Bank 1_EXTERNAL2_total_quantity, Bank 1_EXTERNAL2_encumbered_quantity, Bank 1_MBS_total_quantity, Bank 1_MBS_encumbered_quantity, Bank 1_EXTERNAL1_total_quantity, Bank 1_EXTERNAL1_encumbered_quantity, Bank 1_EXTERNAL3_total_quantity, Bank 1_EXTERNAL3_encumbered_quantity, Bank 1_EQUITIES_total_quantity, Bank 1_EQUITIES_encumbered_quantity, Bank 2_CORPORATE_BONDS_total_quantity, Bank 2_CORPORATE_BONDS_encumbered_quantity, Bank 2_EXTERNAL2_total_quantity, Bank 2_EXTERNAL2_encumbered_quantity, Bank 2_MBS_total_quantity, Bank 2_MBS_encumbered_quantity, Bank 2_EXTERNAL1_total_quantity, Bank 2_EXTERNAL1_encumbered_quantity, Bank 2_EXTERNAL3_total_quantity, Bank 2_EXTERNAL3_encumbered_quantity, Bank 2_EQUITIES_total_quantity, Bank 2_EQUITIES_encumbered_quantity, Bank 3_CORPORATE_BONDS_total_quantity, Bank 3_CORPORATE_BONDS_encumbered_quantity, Bank 3_EXTERNAL2_total_quantity, Bank 3_EXTERNAL2_encumbered_quantity, Bank 3_MBS_total_quantity, Bank 3_MBS_encumbered_quantity, Bank 3_EXTERNAL1_total_quantity, Bank 3_EXTERNAL1_encumbered_quantity, Bank 3_EXTERNAL3_total_quantity, Bank 3_EXTERNAL3_encumbered_quantity, Bank 3_EQUITIES_total_quantity, Bank 3_EQUITIES_encumbered_quantity, Hedgefund 1_CORPORATE_BONDS_total_quantity, Hedgefund 1_CORPORATE_BONDS_encumbered_quantity, Hedgefund 1_EXTERNAL2_total_quantity, Hedgefund 1_EXTERNAL2_encumbered_quantity, Hedgefund 1_MBS_total_quantity, Hedgefund 1_MBS_encumbered_quantity, Hedgefund 1_EXTERNAL1_total_quantity, Hedgefund 1_EXTERNAL1_encumbered_quantity, Hedgefund 1_EXTERNAL3_total_quantity, Hedgefund 1_EXTERNAL3_encumbered_quantity, Hedgefund 1_EQUITIES_total_quantity, Hedgefund 1_EQUITIES_encumbered_quantity, AssetManager 1_CORPORATE_BONDS_total_quantity, AssetManager 1_CORPORATE_BONDS_encumbered_quantity, AssetManager 1_EXTERNAL2_total_quantity, AssetManager 1_EXTERNAL2_encumbered_quantity, AssetManager 1_MBS_total_quantity, AssetManager 1_MBS_encumbered_quantity, AssetManager 1_EXTERNAL1_total_quantity, AssetManager 1_EXTERNAL1_encumbered_quantity, AssetManager 1_EXTERNAL3_total_quantity, AssetManager 1_EXTERNAL3_encumbered_quantity, AssetManager 1_EQUITIES_total_quantity, AssetManager 1_EQUITIES_encumbered_quantity
1, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 260.0, 78.81533101045295, 130.0, 39.407665505226475, 0.0, 0.0, 130.0, 39.407665505226475, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 34.21052631578948, 0.0, 0.0, 60.0, 20.526315789473685, 0.0, 0.0, 0.0, 0.0, 100.0, 34.21052631578948, 107.0, 7.895338067304721, 0.0, 0.0, 107.0, 7.895338067304721, 0.0, 0.0, 0.0, 0.0, 107.0, 7.895338067304721, 260.0, 260.0, 0.0, 0.0, 260.0, 260.0, 0.0, 0.0, 0.0, 0.0, 260.0, 260.0
1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 260.0, 78.81533101045295, 59.64627536519268, 0.0, 0.0, 0.0, 59.64627536519268, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 34.21052631578948, 0.0, 0.0, 60.0, 20.526315789473685, 0.0, 0.0, 0.0, 0.0, 100.0, 34.21052631578948, 107.0, 57.44766903365235, 0.0, 0.0, 107.0, 57.44766903365235, 0.0, 0.0, 0.0, 0.0, 107.0, 57.44766903365235, 260.0, 260.0, 0.0, 0.0, 260.0, 260.0, 0.0, 0.0, 0.0, 0.0, 260.0, 260.0
1, 2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 260.0, 78.81533101045295, 59.64627536519268, 0.0, 0.0, 0.0, 59.64627536519268, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 93.56849590260188, 26.92633331643883, 0.0, 0.0, 56.14109754156113, 16.155799989863297, 0.0, 0.0, 0.0, 0.0, 93.56849590260188, 26.92633331643883, 54.48117350080014, 4.119943563250445, 0.0, 0.0, 54.481173500800146, 4.119943563250452, 0.0, 0.0, 0.0, 0.0, 54.26582005115829, 3.9045901136085988, 260.0, 260.0, 0.0, 0.0, 260.0, 260.0, 0.0, 0.0, 0.0, 0.0, 260.0, 260.0
1, 3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 259.6531903657079, 75.12731012073655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 66.35704413511375, 0.0, 0.0, 0.0, 39.814226481068246, 0.0, 0.0, 0.0, 0.0, 0.0, 66.35704413511375, 0.0, 50.819197194326094, 6.1471242243481115, 0.0, 0.0, 50.819197194326094, 6.1471242243481115, 0.0, 0.0, 0.0, 0.0, 50.79525880122539, 6.144228620240895, 260.0, 260.0, 0.0, 0.0, 260.0, 260.0, 0.0, 0.0, 0.0, 0.0, 260.0, 260.0
1, 4, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, 0.0, 0.0, 21.431624100095505, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 0.0, 0.0, 205.64832667297804, 205.64832667297804
1, 5, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, 0.0, 0.0, 21.431624100095505, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 0.0, 0.0, 205.64832667297804, 205.64832667297804
1, 6, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, 0.0, 0.0, 21.431624100095505, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 0.0, 0.0, 205.64832667297804, 205.64832667297804
1, 7, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, 0.0, 0.0, 21.431624100095505, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 0.0, 0.0, 205.64832667297804, 205.64832667297804
1, 8, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, 0.0, 0.0, 21.431624100095505, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 0.0, 0.0, 205.64832667297804, 205.64832667297804
1, 9, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, 0.0, 0.0, 21.431624100095505, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 0.0, 0.0, 205.64832667297804, 205.64832667297804
1, 10, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, 0.0, 0.0, 21.431624100095505, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 0.0, 0.0, 205.64832667297804, 205.64832667297804
1, 11, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, 0.0, 0.0, 21.431624100095505, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 0.0, 0.0, 205.64832667297804, 205.64832667297804
1, 12, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, 0.0, 0.0, 21.431624100095505, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 0.0, 0.0, 205.64832667297804, 205.64832667297804
1, 13, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, 0.0, 0.0, 21.431624100095505, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 0.0, 0.0, 205.64832667297804, 205.64832667297804
1, 14, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, 0.0, 0.0, 21.431624100095505, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 0.0, 0.0, 205.64832667297804, 205.64832667297804
1, 15, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, 0.0, 0.0, 21.431624100095505, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015917, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 205.64832667297804, 205.64832667297804, 0.0, 0.0, 0.0, 0.0, 205.64832667297804, 205.64832667297804
Simulation number, Timestep, Bank 1_CORPORATE_BONDS_total_quantity, Bank 1_CORPORATE_BONDS_encumbered_quantity, Bank 1_EXTERNAL2_total_quantity, Bank 1_EXTERNAL2_encumbered_quantity, Bank 1_MBS_total_quantity, Bank 1_MBS_encumbered_quantity, Bank 1_EXTERNAL1_total_quantity, Bank 1_EXTERNAL1_encumbered_quantity, Bank 1_EXTERNAL3_total_quantity, Bank 1_EXTERNAL3_encumbered_quantity, Bank 1_EQUITIES_total_quantity, Bank 1_EQUITIES_encumbered_quantity, Bank 2_CORPORATE_BONDS_total_quantity, Bank 2_CORPORATE_BONDS_encumbered_quantity, Bank 2_EXTERNAL2_total_quantity, Bank 2_EXTERNAL2_encumbered_quantity, Bank 2_MBS_total_quantity, Bank 2_MBS_encumbered_quantity, Bank 2_EXTERNAL1_total_quantity, Bank 2_EXTERNAL1_encumbered_quantity, Bank 2_EXTERNAL3_total_quantity, Bank 2_EXTERNAL3_encumbered_quantity, Bank 2_EQUITIES_total_quantity, Bank 2_EQUITIES_encumbered_quantity, Bank 3_CORPORATE_BONDS_total_quantity, Bank 3_CORPORATE_BONDS_encumbered_quantity, Bank 3_EXTERNAL2_total_quantity, Bank 3_EXTERNAL2_encumbered_quantity, Bank 3_MBS_total_quantity, Bank 3_MBS_encumbered_quantity, Bank 3_EXTERNAL1_total_quantity, Bank 3_EXTERNAL1_encumbered_quantity, Bank 3_EXTERNAL3_total_quantity, Bank 3_EXTERNAL3_encumbered_quantity, Bank 3_EQUITIES_total_quantity, Bank 3_EQUITIES_encumbered_quantity, Hedgefund 1_CORPORATE_BONDS_total_quantity, Hedgefund 1_CORPORATE_BONDS_encumbered_quantity, Hedgefund 1_EXTERNAL2_total_quantity, Hedgefund 1_EXTERNAL2_encumbered_quantity, Hedgefund 1_MBS_total_quantity, Hedgefund 1_MBS_encumbered_quantity, Hedgefund 1_EXTERNAL1_total_quantity, Hedgefund 1_EXTERNAL1_encumbered_quantity, Hedgefund 1_EXTERNAL3_total_quantity, Hedgefund 1_EXTERNAL3_encumbered_quantity, Hedgefund 1_EQUITIES_total_quantity, Hedgefund 1_EQUITIES_encumbered_quantity, AssetManager 1_CORPORATE_BONDS_total_quantity, AssetManager 1_CORPORATE_BONDS_encumbered_quantity, AssetManager 1_EXTERNAL2_total_quantity, AssetManager 1_EXTERNAL2_encumbered_quantity, AssetManager 1_MBS_total_quantity, AssetManager 1_MBS_encumbered_quantity, AssetManager 1_EXTERNAL1_total_quantity, AssetManager 1_EXTERNAL1_encumbered_quantity, AssetManager 1_EXTERNAL3_total_quantity, AssetManager 1_EXTERNAL3_encumbered_quantity, AssetManager 1_EQUITIES_total_quantity, AssetManager 1_EQUITIES_encumbered_quantity
2, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 260.0, 78.81533101045295, 130.0, 39.407665505226475, 0.0, 0.0, 130.0, 39.407665505226475, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 34.21052631578948, 0.0, 0.0, 60.0, 20.526315789473685, 0.0, 0.0, 0.0, 0.0, 100.0, 34.21052631578948, 107.0, 7.895338067304721, 0.0, 0.0, 107.0, 7.895338067304721, 0.0, 0.0, 0.0, 0.0, 107.0, 7.895338067304721, 260.0, 260.0, 0.0, 0.0, 260.0, 260.0, 0.0, 0.0, 0.0, 0.0, 260.0, 260.0
2, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 260.0, 78.81533101045295, 59.64627536519268, 0.0, 0.0, 0.0, 59.64627536519268, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 34.21052631578948, 0.0, 0.0, 60.0, 20.526315789473685, 0.0, 0.0, 0.0, 0.0, 100.0, 34.21052631578948, 107.0, 57.44766903365235, 0.0, 0.0, 107.0, 57.44766903365235, 0.0, 0.0, 0.0, 0.0, 107.0, 57.44766903365235, 260.0, 260.0, 0.0, 0.0, 260.0, 260.0, 0.0, 0.0, 0.0, 0.0, 260.0, 260.0
2, 2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 260.0, 78.81533101045295, 59.64627536519268, 0.0, 0.0, 0.0, 59.64627536519268, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 93.56849590260188, 26.92633331643883, 0.0, 0.0, 56.14109754156113, 16.155799989863297, 0.0, 0.0, 0.0, 0.0, 93.56849590260188, 26.92633331643883, 54.481173500800146, 4.119943563250452, 0.0, 0.0, 54.481173500800146, 4.119943563250452, 0.0, 0.0, 0.0, 0.0, 54.2658200511583, 3.904590113608606, 260.0, 260.0, 0.0, 0.0, 260.0, 260.0, 0.0, 0.0, 0.0, 0.0, 260.0, 260.0
2, 3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 259.6531903657079, 75.12731012073655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 66.35704413511375, 0.0, 0.0, 0.0, 39.814226481068246, 0.0, 0.0, 0.0, 0.0, 0.0, 66.35704413511375, 0.0, 50.819197194326094, 6.1471242243481115, 0.0, 0.0, 50.819197194326094, 6.1471242243481115, 0.0, 0.0, 0.0, 0.0, 50.79525880122539, 6.144228620240895, 260.0, 260.0, 0.0, 0.0, 260.0, 260.0, 0.0, 0.0, 0.0, 0.0, 260.0, 260.0
2, 4, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, 0.0, 0.0, 73.7864786860576, 73.7864786860576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015918, 0.0, 0.0, 0.0, 21.431624100095508, 0.0, 0.0, 0.0, 0.0, 0.0, 35.71937350015918, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4210854715202004E-14, 0.0, 260.0, 260.0, 0.0, 0.0, 260.0, 260.0, 0.0, 0.0, 0.0, 0.0, 260.0, 260.0
2, 5, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, 0.0, 0.0, 73.7864786860576, 73.7864786860576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4210854715202004E-14, 0.0, 260.0, 260.0, 0.0, 0.0, 260.0, 260.0, 0.0, 0.0, 0.0, 0.0, 260.0, 260.0
2, 6, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, 0.0, 0.0, 73.7864786860576, 73.7864786860576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4210854715202004E-14, 0.0, 260.0, 260.0, 0.0, 0.0, 260.0, 260.0, 0.0, 0.0, 0.0, 0.0, 260.0, 260.0
2, 7, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, 0.0, 0.0, 73.7864786860576, 73.7864786860576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4210854715202004E-14, 0.0, 260.0, 260.0, 0.0, 0.0, 260.0, 260.0, 0.0, 0.0, 0.0, 0.0, 260.0, 260.0
2, 8, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, 0.0, 0.0, 73.7864786860576, 73.7864786860576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4210854715202004E-14, 0.0, 260.0, 260.0, 0.0, 0.0, 260.0, 260.0, 0.0, 0.0, 0.0, 0.0, 260.0, 260.0
2, 9, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, 0.0, 0.0, 73.7864786860576, 73.7864786860576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4210854715202004E-14, 0.0, 260.0, 260.0, 0.0, 0.0, 260.0, 260.0, 0.0, 0.0, 0.0, 0.0, 260.0, 260.0
2, 10, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, 0.0, 0.0, 73.7864786860576, 73.7864786860576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4210854715202004E-14, 0.0, 260.0, 260.0, 0.0, 0.0, 260.0, 260.0, 0.0, 0.0, 0.0, 0.0, 260.0, 260.0
2, 11, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, 0.0, 0.0, 73.7864786860576, 73.7864786860576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4210854715202004E-14, 0.0, 260.0, 260.0, 0.0, 0.0, 260.0, 260.0, 0.0, 0.0, 0.0, 0.0, 260.0, 260.0
2, 12, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, 0.0, 0.0, 73.7864786860576, 73.7864786860576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4210854715202004E-14, 0.0, 260.0, 260.0, 0.0, 0.0, 260.0, 260.0, 0.0, 0.0, 0.0, 0.0, 260.0, 260.0
2, 13, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, 0.0, 0.0, 73.7864786860576, 73.7864786860576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4210854715202004E-14, 0.0, 260.0, 260.0, 0.0, 0.0, 260.0, 260.0, 0.0, 0.0, 0.0, 0.0, 260.0, 260.0
2, 14, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, 0.0, 0.0, 73.7864786860576, 73.7864786860576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4210854715202004E-14, 0.0, 260.0, 260.0, 0.0, 0.0, 260.0, 260.0, 0.0, 0.0, 0.0, 0.0, 260.0, 260.0
2, 15, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, -0.5264303312309977, -0.5264303312309977, 0.0, 0.0, 0.0, 0.0, 73.7864786860576, 73.7864786860576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 7.105427357601002E-15, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4210854715202004E-14, 0.0, 260.0, 260.0, 0.0, 0.0, 260.0, 260.0, 0.0, 0.0, 0.0, 0.0, 260.0, 260.0
